UPC,BRAND,BRAND VARIANT,PROMOTION,PRODUCT COUNT,PACK COUNT,SHAPE,SIZE,PRICE,COMMENT,VIEW
999999982000,GREEN MOUNTAIN,COFFEE ROASTERS CARAMEL VANILLA CREAM ,,18 COUNT,1 PACK,BOX,5.9 OZ,9.98,,
999999982001,GREEN MOUNTAIN,COFFEE FRENCH VANILLA,,18 COUNT,1 PACK,BOX,5.9 OZ,9.98,,
999999982002,GREEN MOUNTAIN,COFFEE ROASTERS HAZELNUT,,18 COUNT,1 PACK,BOX,5.9 OZ,9.98,,
999999982003,PEETS COFFEE,DARK ROAST COFFEE MAJOR DICKANSON’S BLEND,,16 COUNT,1 PACK,BOX,7.5 OZ,10.78,,
999999982004,STARBUCKS,VERANDA BLEND,,16 COUNT,1 PACK,BOX,6.7 OZ,12.98,,
999999982005,STARBUCKS PLUS,COFFEE WITH 2X CAFFEINE DARK ROAST,,16 COUNT,1 PACK,BOX,6.9 OZ,12.98,,
999999982006,STARBUCKS PLUS,COFFEE WITH 2X CAFFEINE MEDIUM ROAST,,16 COUNT,1 PACK,BOX,6.9 OZ,12.98,,
999999982007,GREEN MOUNTAIN,COFFEE ROASTERS BREAKFAST BLEND LIGHT ROAST,VALUE PACK,48 COUNT,1 PACK,BOX,15 OZ,22.98,,
999999982008,GREEN MOUNTAIN,COFFEE ROASTERS BREAKFAST BLEND DECAF LIGHT ROAST,,18 COUNT,1 PACK,BOX,5.6 OZ,9.98,,
999999982009,STARBUCKS,HOUSE BLEND RICH & LIVELY MEDIUM ROAST,,16 COUNT,1 PACK,BOX,6.7 OZ,10.98,,
999999982010,STARBUCKS,BREAKFAST BLEND BRIGHT & TANGY MEDIUM ROAST,,16 COUNT,1 PACK,BOX,7 OZ,10.98,,
999999982011,STARBUCKS,BREAKFAST BLEND BRIGHT & TANGY MEDIUM ROAST,,32 COUNT,1 PACK,BOX,14.08 OZ,21.48,,
999999982012,STARBUCKS,PIKE PLACE ROAST SMOOTH & BALANCED MEDIUM ROAST,,32 COUNT,1 PACK,BOX,14.08 OZ,19.98,,
999999982013,STARBUCKS,PIKE PLACE ROAST SMOOTH & BALANCED MEDIUM ROAST,,16 COUNT,1 PACK,BOX,7 OZ,10.98,,
999999982014,GREEN MOUNTAIN,COFFEE ROASTERS DARK MAGIC DARK ROAST,VALUE PACK,48 COUNT,1 PACK,BOX,13.3 OZ,22.98,,
999999982015,STARBUCKS,SUMATRA DARK ROAST SINGLE CUP COFFEE EARTHY & HERBAL DARK ROAST,,16 COUNT,1 PACK,BOX,6.7 OZ,10.98,,
999999982016,STARBUCKS,CAFFE VERONA ROASTY SWEET & DARK COCOA DARK ROAST ,,16 COUNT,1 PACK,BOX,6.7 OZ,10.98,,
999999982017,THE ORIGINAL DONUT SHOP,COFFEE REGULAR MEDIUM ROAST COFFEE EXTRA BOLD COFFEE ,VALUE PACK,48 COUNT,1 PACK,BOX,18.7 OZ,22.98,,
999999982018,STARBUCKS,CINNAMON DOLCE FLAVORED GROUND COFFEE WITH OTHER NATURAL FLAVORS SIGNATURE COLLECTION,,16 COUNT,1 PACK,BOX,5.7 OZ,10.98,,
